tag,real_component,kernel_short_name,avg_kernel_gpu_time_ms,rows
agg_aic_p0_chunk_b9_isl8192_ctx8192,attn_mha,device_kernel,5.2355834,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,attn_mha,prepare_varlen_num_blocks_kernel,0.0034495999999999997,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,fused_qkv_a_proj_with_mqa,sm90_fp8_gemm_1d2d_impl,0.19852799999999998,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,fused_qkv_a_proj_with_mqa,per_token_group_quant_8bit_kernel,0.0745472,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,kv_a_layernorm,RMSNormKernel,0.013062399999999998,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,kv_b_proj,sm90_fp8_gemm_1d2d_impl,2.87703,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,kv_b_proj,per_token_group_quant_8bit_kernel,0.0478976,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,o_proj,sm90_fp8_gemm_1d2d_impl,1.1298368,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,o_proj,per_token_group_quant_8bit_kernel,0.161056,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,q_a_layernorm,RMSNormKernel,0.0177536,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,q_b_proj,sm90_fp8_gemm_1d2d_impl,0.4346496,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,q_b_proj,per_token_group_quant_8bit_kernel,0.0163136,5
agg_aic_p0_chunk_b9_isl8192_ctx8192,rotary_emb,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,0.1064768,5
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,attn_mqa,device_kernel,0.47039980000000003,5
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,attn_mqa,set_mla_kv_buffer_kernel,0.007616,5
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,attn_mqa,prepare_varlen_num_blocks_kernel,0.0033408,5
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,fused_qkv_a_proj_with_mqa,sm90_fp8_gemm_1d2d_impl,0.0596734,5
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,fused_qkv_a_proj_with_mqa,per_token_group_quant_8bit_kernel,0.020211200000000002,5
