tag,aic_model,op_name,op_order,latency_ms,source,included_policy,batch_size,fresh_len,prefix_len,tp_size,x_tokens,kvcache_quant_mode,fmha_quant_mode,gemm_quant_mode,attention_backend
req1_large_prefix_regular_b1_f4096_p32000,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.12663643679687892,silicon,include_one_qkv_a_gemm_only,1,4096,32000,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b1_f4096_p32000,WideEPDeepSeekModel,wideep_context_mla,2,19.847940206583853,silicon,include_wideep_context_mla_module,1,4096,32000,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b2_f2048_p16384,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.12663643679687892,silicon,include_one_qkv_a_gemm_only,2,2048,16384,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b2_f2048_p16384,WideEPDeepSeekModel,wideep_context_mla,2,10.221823344688307,silicon,include_wideep_context_mla_module,2,2048,16384,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b2_f2048_p32000,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.12663643679687892,silicon,include_one_qkv_a_gemm_only,2,2048,32000,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b2_f2048_p32000,WideEPDeepSeekModel,wideep_context_mla,2,17.98336661833129,silicon,include_wideep_context_mla_module,2,2048,32000,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b4_f1024_p16384,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.12663643679687892,silicon,include_one_qkv_a_gemm_only,4,1024,16384,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b4_f1024_p16384,WideEPDeepSeekModel,wideep_context_mla,2,10.867075344002632,silicon,include_wideep_context_mla_module,4,1024,16384,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b4_f1024_p8192,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.12663643679687892,silicon,include_one_qkv_a_gemm_only,4,1024,8192,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b4_f1024_p8192,WideEPDeepSeekModel,wideep_context_mla,2,6.757089018646086,silicon,include_wideep_context_mla_module,4,1024,8192,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b4_f512_p8192,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.0630510951959059,silicon,include_one_qkv_a_gemm_only,4,512,8192,1,2048,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b4_f512_p8192,WideEPDeepSeekModel,wideep_context_mla,2,3.3386261865298232,silicon,include_wideep_context_mla_module,4,512,8192,1,2048,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b8_f256_p4096,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.0630510951959059,silicon,include_one_qkv_a_gemm_only,8,256,4096,1,2048,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b8_f256_p4096,WideEPDeepSeekModel,wideep_context_mla,2,2.414402405796958,silicon,include_wideep_context_mla_module,8,256,4096,1,2048,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b8_f512_p4096,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.12663643679687892,silicon,include_one_qkv_a_gemm_only,8,512,4096,1,4096,fp8,fp8_block,fp8_block,fa3
req1_large_prefix_regular_b8_f512_p4096,WideEPDeepSeekModel,wideep_context_mla,2,4.893354499954878,silicon,include_wideep_context_mla_module,8,512,4096,1,4096,fp8,fp8_block,fp8_block,fa3
