case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,aic_mean_ms,aic_std_ms,aic_count,pct_increase_vs_aic_mean
req1_equal_fresh_irregular_b1_f4500_p0|prefill|b1|f4500|p0,"b1
f4500
p0",1,4500,0,58.2628122,123.22601860121495,5,2.799026265957524,0.0,5,1981.5386017847447
req1_equal_fresh_irregular_b1_f6000_p0|prefill|b1|f6000|p0,"b1
f6000
p0",1,6000,0,60.97365560000001,127.74153828904808,5,4.017983357001034,0.0,5,1417.5188691052688
req1_equal_fresh_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,56.545749,112.91659734661582,5,6.3943,0.0,5,784.314921101606
req1_equal_prefix_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,50.762323599999995,99.97475468679713,5,6.3943,0.0,5,693.8683452449836
req1_equal_prefix_regular_b1_f8192_p1024|prefill|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,7.1563244,0.4797859460851262,5,7.862828089076226,0.0,5,-8.985363549506657
req1_equal_prefix_regular_b1_f8192_p4096|prefill|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,9.7950192,0.37141158304864375,5,11.005445004383091,0.0,5,-10.998426723326677
req1_equal_prefix_regular_b1_f8192_p8192|prefill|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,13.4752182,0.37297611606535847,5,15.246075,0.0,5,-11.6151652146536
req1_equal_prefix_regular_b1_f8192_p10500|prefill|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,15.560837600000003,0.3226852440138849,5,17.72003337630506,0.0,5,-12.185054793363422
req1_equal_prefix_regular_b1_f8192_p32000|prefill|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,35.5898662,0.6736133381701245,5,42.00454545921361,0.0,5,-15.271393105401549
req1_equal_fresh_regular_b2_f4096_p0|prefill|b2|f4096|p0,"b2
f4096
p0",2,4096,0,4.415615,0.09283898215728165,5,4.5199,0.0,5,-2.3072413106484646
req1_equal_prefix_regular_b2_f4096_p4096|prefill|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,8.3908766,0.2802520399074741,5,9.8025,0.0,5,-14.400646773782197
req1_equal_fresh_regular_b4_f512_p0|prefill|b4|f512|p0,"b4
f512
p0",4,512,0,1.3192637999999999,0.3702527999734777,5,1.0149,0.0,5,29.98953591486846
req1_equal_prefix_regular_b4_f512_p512|prefill|b4|f512|p512,"b4
f512
p512",4,512,512,1.8112312,0.5520545978657364,5,1.3116,0.0,5,38.09326014028665
req1_equal_fresh_irregular_b4_f1200_p0|prefill|b4|f1200|p0,"b4
f1200
p0",4,1200,0,2.0196031999999997,0.07294255089589351,5,2.188778516561059,0.0,5,-7.729211305804585
req1_equal_fresh_regular_b4_f2048_p0|prefill|b4|f2048|p0,"b4
f2048
p0",4,2048,0,3.5391798000000003,0.039275796760855144,5,3.661,0.0,5,-3.3275116088500334
req1_equal_prefix_regular_b4_f2048_p1024|prefill|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,4.7578604,0.2861184094126068,5,6.082912188819449,0.0,5,-21.783181273846573
req1_equal_fresh_regular_b8_f1_p0|prefill|b8|f1|p0,"b8
f1
p0",8,1,0,0.8113536,0.04607421852619964,5,0.757,0.0,5,7.1801321003963015
req1_equal_fresh_irregular_b12_f300_p0|prefill|b12|f300|p0,"b12
f300
p0",12,300,0,1.568896,0.31302729828562853,5,1.5368752251552371,0.0,5,2.0834986679890424
