case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,aic_mean_ms,aic_std_ms,aic_count,pct_increase_vs_aic_mean
req1_equal_fresh_irregular_b1_f4500_p0|prefill|b1|f4500|p0,"b1
f4500
p0",1,4500,0,2.5660928,0.006012237121072333,5,2.799026265957524,0.0,5,-8.321946413669668
req1_equal_fresh_irregular_b1_f6000_p0|prefill|b1|f6000|p0,"b1
f6000
p0",1,6000,0,3.8249786,0.005973450619198234,5,4.017983357001034,0.0,5,-4.803523057524311
req1_equal_fresh_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,6.0307764,0.0674669203261866,5,6.3943,0.0,5,-5.685119559607784
req1_equal_prefix_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,6.034162,0.0697186024888619,5,6.3943,0.0,5,-5.632172403546909
req1_equal_prefix_regular_b1_f8192_p1024|prefill|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,6.887735999999999,0.07698093116804978,5,7.862828089076226,0.0,5,-12.401289689023157
req1_equal_prefix_regular_b1_f8192_p4096|prefill|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,9.478993599999999,0.1731771294839483,5,11.005445004383091,0.0,5,-13.869965310581797
req1_equal_prefix_regular_b1_f8192_p8192|prefill|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,13.093714199999999,0.37542313576443237,5,15.246075,0.0,5,-14.117474825487875
req1_equal_prefix_regular_b1_f8192_p10500|prefill|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,15.134033800000001,0.3502179641997252,5,17.72003337630506,0.0,5,-14.593649579481133
req1_equal_prefix_regular_b1_f8192_p32000|prefill|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,34.504898600000004,0.889524485895304,5,42.00454545921361,0.0,5,-17.854369752663455
req1_equal_fresh_regular_b2_f4096_p0|prefill|b2|f4096|p0,"b2
f4096
p0",2,4096,0,4.3653236,0.052161476760152946,5,4.5199,0.0,5,-3.4199075200778744
req1_equal_prefix_regular_b2_f4096_p4096|prefill|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,7.9911782,0.09832319981926947,5,9.8025,0.0,5,-18.47816169344555
req1_equal_fresh_regular_b4_f512_p0|prefill|b4|f512|p0,"b4
f512
p0",4,512,0,0.8165182,0.005523349726388932,5,1.0149,0.0,5,-19.546930732091827
req1_equal_prefix_regular_b4_f512_p512|prefill|b4|f512|p512,"b4
f512
p512",4,512,512,1.0014906,0.004215419409738493,5,1.3116,0.0,5,-23.643595608417215
req1_equal_fresh_irregular_b4_f1200_p0|prefill|b4|f1200|p0,"b4
f1200
p0",4,1200,0,1.9782336,0.005215626980526932,5,2.188778516561059,0.0,5,-9.619288336759652
req1_equal_fresh_regular_b4_f2048_p0|prefill|b4|f2048|p0,"b4
f2048
p0",4,2048,0,3.5082678,0.014008977236044258,5,3.661,0.0,5,-4.171871073477192
req1_equal_prefix_regular_b4_f2048_p1024|prefill|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,4.4863854000000005,0.029267464423827418,5,6.082912188819449,0.0,5,-26.246092977536428
req1_equal_fresh_regular_b8_f1_p0|prefill|b8|f1|p0,"b8
f1
p0",8,1,0,0.1326784,0.0016996790285227425,5,0.757,0.0,5,-82.47313077939235
req1_equal_fresh_irregular_b12_f300_p0|prefill|b12|f300|p0,"b12
f300
p0",12,300,0,1.4090368,0.01606984116909687,5,1.5368752251552371,0.0,5,-8.318074431990691
