case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,aic_mean_ms,aic_std_ms,aic_count,pct_increase_vs_aic_mean
req1_equal_fresh_irregular_b1_f4500_p0|prefill|b1|f4500|p0,"b1
f4500
p0",1,4500,0,2.4346240000000003,0.005718248682944811,5,2.799026265957524,0.0,5,-13.018894120054448
req1_equal_fresh_irregular_b1_f6000_p0|prefill|b1|f6000|p0,"b1
f6000
p0",1,6000,0,3.6370106,0.005646101690547179,5,4.017983357001034,0.0,5,-9.481690767514449
req1_equal_fresh_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,5.7590452,0.06102800262748243,5,6.3943,0.0,5,-9.934704346058211
req1_equal_prefix_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,5.7628276,0.06373737297535861,5,6.3943,0.0,5,-9.875551663200048
req1_equal_prefix_regular_b1_f8192_p1024|prefill|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,6.615915199999999,0.06997565627202068,5,7.862828089076226,0.0,5,-15.85832571881553
req1_equal_prefix_regular_b1_f8192_p4096|prefill|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,9.2108784,0.1736953311528543,5,11.005445004383091,0.0,5,-16.306170297233567
req1_equal_prefix_regular_b1_f8192_p8192|prefill|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,12.820056600000001,0.3703268955244811,5,15.246075,0.0,5,-15.912412866918196
req1_equal_prefix_regular_b1_f8192_p10500|prefill|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,14.858341000000001,0.33779409983746045,5,17.72003337630506,0.0,5,-16.149475091461554
req1_equal_prefix_regular_b1_f8192_p32000|prefill|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,34.215643799999995,0.8790718869948567,5,42.00454545921361,0.0,5,-18.542997130576342
req1_equal_fresh_regular_b2_f4096_p0|prefill|b2|f4096|p0,"b2
f4096
p0",2,4096,0,4.0940726,0.0476635214477483,5,4.5199,0.0,5,-9.421168609925003
req1_equal_prefix_regular_b2_f4096_p4096|prefill|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,7.7177126000000005,0.09146551700121767,5,9.8025,0.0,5,-21.267915327722516
req1_equal_fresh_regular_b4_f512_p0|prefill|b4|f512|p0,"b4
f512
p0",4,512,0,0.7433598,0.005494034601274397,5,1.0149,0.0,5,-26.755365060597097
req1_equal_prefix_regular_b4_f512_p512|prefill|b4|f512|p512,"b4
f512
p512",4,512,512,0.9277946,0.004461336212391944,5,1.3116,0.0,5,-29.262381823726752
req1_equal_fresh_irregular_b4_f1200_p0|prefill|b4|f1200|p0,"b4
f1200
p0",4,1200,0,1.8155712000000002,0.00400630543019368,5,2.188778516561059,0.0,5,-17.050940227037252
req1_equal_fresh_regular_b4_f2048_p0|prefill|b4|f2048|p0,"b4
f2048
p0",4,2048,0,3.2402998,0.011404186739965402,5,3.661,0.0,5,-11.491401256487304
req1_equal_prefix_regular_b4_f2048_p1024|prefill|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,4.217451,0.02929067587134198,5,6.082912188819449,0.0,5,-30.66723850211443
req1_equal_fresh_regular_b8_f1_p0|prefill|b8|f1|p0,"b8
f1
p0",8,1,0,0.12058879999999994,0.0015163070929069852,5,0.757,0.0,5,-84.0701717305152
req1_equal_fresh_irregular_b12_f300_p0|prefill|b12|f300|p0,"b12
f300
p0",12,300,0,1.29536,0.016336995072534045,5,1.5368752251552371,0.0,5,-15.71469311250313
