tag,aic_model,op_name,op_order,latency_ms,source,included_policy,batch_size,fresh_len,prefix_len,tp_size,x_tokens,kvcache_quant_mode,fmha_quant_mode,gemm_quant_mode,attention_backend
req1_equal_fresh_irregular_b12_f300_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.11539304425088714,silicon,include_one_qkv_a_gemm_only,12,300,0,1,3600,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_irregular_b12_f300_p0,WideEPDeepSeekModel,wideep_context_mla,2,1.5368752251552373,silicon,include_wideep_context_mla_module,12,300,0,1,3600,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_irregular_b1_f4500_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.15305830140971385,silicon,include_one_qkv_a_gemm_only,1,4500,0,1,4500,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_irregular_b1_f4500_p0,WideEPDeepSeekModel,wideep_context_mla,2,2.7990262659575236,silicon,include_wideep_context_mla_module,1,4500,0,1,4500,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_irregular_b1_f6000_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.19067269115875446,silicon,include_one_qkv_a_gemm_only,1,6000,0,1,6000,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_irregular_b1_f6000_p0,WideEPDeepSeekModel,wideep_context_mla,2,4.017983357001034,silicon,include_wideep_context_mla_module,1,6000,0,1,6000,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_irregular_b4_f1200_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.16058117935952199,silicon,include_one_qkv_a_gemm_only,4,1200,0,1,4800,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_irregular_b4_f1200_p0,WideEPDeepSeekModel,wideep_context_mla,2,2.188778516561059,silicon,include_wideep_context_mla_module,4,1200,0,1,4800,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b1_f8192_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.2456398527120191,silicon,include_one_qkv_a_gemm_only,1,8192,0,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b1_f8192_p0,WideEPDeepSeekModel,wideep_context_mla,2,6.3943,silicon,include_wideep_context_mla_module,1,8192,0,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b2_f4096_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.2456398527120191,silicon,include_one_qkv_a_gemm_only,2,4096,0,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b2_f4096_p0,WideEPDeepSeekModel,wideep_context_mla,2,4.5199,silicon,include_wideep_context_mla_module,2,4096,0,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b4_f2048_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.2456398527120191,silicon,include_one_qkv_a_gemm_only,4,2048,0,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b4_f2048_p0,WideEPDeepSeekModel,wideep_context_mla,2,3.661,silicon,include_wideep_context_mla_module,4,2048,0,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b4_f512_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.0630510951959059,silicon,include_one_qkv_a_gemm_only,4,512,0,1,2048,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b4_f512_p0,WideEPDeepSeekModel,wideep_context_mla,2,1.0149,silicon,include_wideep_context_mla_module,4,512,0,1,2048,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b8_f1_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.012985891592101177,silicon,include_one_qkv_a_gemm_only,8,1,0,1,8,fp8,fp8_block,fp8_block,fa3
req1_equal_fresh_regular_b8_f1_p0,WideEPDeepSeekModel,wideep_context_mla,2,0.757,silicon,include_wideep_context_mla_module,8,1,0,1,8,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p0,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.2456398527120191,silicon,include_one_qkv_a_gemm_only,1,8192,0,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p0,WideEPDeepSeekModel,wideep_context_mla,2,6.3943,silicon,include_wideep_context_mla_module,1,8192,0,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p1024,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.2456398527120191,silicon,include_one_qkv_a_gemm_only,1,8192,1024,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p1024,WideEPDeepSeekModel,wideep_context_mla,2,7.862828089076226,silicon,include_wideep_context_mla_module,1,8192,1024,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p10500,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.2456398527120191,silicon,include_one_qkv_a_gemm_only,1,8192,10500,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p10500,WideEPDeepSeekModel,wideep_context_mla,2,17.72003337630506,silicon,include_wideep_context_mla_module,1,8192,10500,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p32000,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.2456398527120191,silicon,include_one_qkv_a_gemm_only,1,8192,32000,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p32000,WideEPDeepSeekModel,wideep_context_mla,2,42.00454545921361,silicon,include_wideep_context_mla_module,1,8192,32000,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p4096,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.2456398527120191,silicon,include_one_qkv_a_gemm_only,1,8192,4096,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p4096,WideEPDeepSeekModel,wideep_context_mla,2,11.005445004383093,silicon,include_wideep_context_mla_module,1,8192,4096,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p8192,WideEPDeepSeekModel,context_qkv_a_proj_gemm,1,0.2456398527120191,silicon,include_one_qkv_a_gemm_only,1,8192,8192,1,8192,fp8,fp8_block,fp8_block,fa3
req1_equal_prefix_regular_b1_f8192_p8192,WideEPDeepSeekModel,wideep_context_mla,2,15.246075,silicon,include_wideep_context_mla_module,1,8192,8192,1,8192,fp8,fp8_block,fp8_block,fa3
