case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,sim_mean_ms,sim_std_ms,sim_count,pct_increase_vs_sim_mean
req1_equal_fresh_regular_b1_f1_p0|decode|b1|f1|p0,"b1
f1
p0",1,1,0,0.07667519999999999,0.0073881040238119805,10,0.10289999999999991,0.0,10,-25.485714285714234
req1_equal_fresh_irregular_b1_f4500_p0|decode|b1|f4500|p0,"b1
f4500
p0",1,4500,0,0.10005119999999998,0.0007344679707107937,5,0.1206262939453125,0.0,5,-17.05688973138851
req1_equal_fresh_irregular_b1_f6000_p0|decode|b1|f6000|p0,"b1
f6000
p0",1,6000,0,0.10375680000000001,0.00036457536943683037,5,0.1218347900390625,0.0,5,-14.838118105071917
req1_equal_fresh_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,0.10616299999999998,0.0013451115195403174,5,0.12360069580078119,0.0,5,-14.10808870274256
req1_equal_prefix_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,0.1052478,0.0013983305045660718,5,0.12360069580078119,0.0,5,-14.848537608851545
req1_equal_prefix_regular_b1_f8192_p1024|decode|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,0.1076862,0.0006788697960581241,5,0.12431319580078122,0.0,5,-13.375085157835462
req1_equal_prefix_regular_b1_f8192_p4096|decode|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,0.109619,0.0014302660591652228,5,0.1264506958007812,0.0,5,-13.310876380861492
req1_equal_prefix_regular_b1_f8192_p8192|decode|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,0.11390059999999998,0.0009800049999872241,5,0.1293006958007812,0.0,5,-11.910296155334526
req1_equal_prefix_regular_b1_f8192_p10500|decode|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,0.11724779999999999,0.001237429674769439,5,0.1309066040039062,0.0,5,-10.434006830930114
req1_equal_prefix_regular_b1_f8192_p32000|decode|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,0.1323458,0.00041939027170406187,5,0.1458663208007812,0.0,5,-9.269117591062725
req1_equal_fresh_regular_b2_f4096_p0|decode|b2|f4096|p0,"b2
f4096
p0",2,4096,0,0.10335339999999997,0.0009368680803613425,5,0.1232010986328125,0.0,5,-16.110001333645933
req1_equal_prefix_regular_b2_f4096_p4096|decode|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,0.11142999999999999,0.0007104276880865102,5,0.1277011108398437,0.0,5,-12.74155779290763
req1_equal_fresh_regular_b4_f512_p0|decode|b4|f512|p0,"b4
f512
p0",4,512,0,0.09449599999999998,0.0010858802880612532,5,0.114306640625,0.0,5,-17.331137120888524
req1_equal_prefix_regular_b4_f512_p512|decode|b4|f512|p512,"b4
f512
p512",4,512,512,0.10000619999999998,0.0013554453880551603,5,0.11770380859375,0.0,5,-15.035714481281243
req1_equal_fresh_irregular_b4_f1200_p0|decode|b4|f1200|p0,"b4
f1200
p0",4,1200,0,0.10144639999999998,0.0007667990610323119,5,0.11837412109375,0.0,5,-14.300187352895827
req1_equal_fresh_regular_b4_f2048_p0|decode|b4|f2048|p0,"b4
f2048
p0",4,2048,0,0.104083,0.0012045036322070617,5,0.121602392578125,0.0,5,-14.407111740724545
req1_equal_prefix_regular_b4_f2048_p1024|decode|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,0.10513919999999999,0.001097511366683736,5,0.12405239257812499,0.0,5,-15.246132851661013
req1_equal_fresh_regular_b8_f1_p0|decode|b8|f1|p0,"b8
f1
p0",8,1,0,0.08452459999999998,0.0005605227916864608,5,0.1061333333333333,0.0,5,-20.35998743718593
req1_equal_fresh_irregular_b12_f300_p0|decode|b12|f300|p0,"b12
f300
p0",12,300,0,0.10474859999999997,0.001683157093084323,5,0.12175488281249999,0.0,5,-13.967639259847466
